"Designator","Component Value","Footprint","Place X","Place Y","Rotation","Side"
"R11","R 0.1W SMTF 47","SM0805","33.745","86.579","225.000","Top"
"R12","R 0.1W SMTF 47","SM0805","36.930","89.689","225.000","Top"
"R13","R 0.1W SMTF 47","SM0805","35.355","88.114","225.000","Top"
"R6","R 0.1W SMTF 100","SM0805","80.775","97.574","180.000","Top"
"R7","R 0.1W SMTF 100","SM0805","80.775","95.324","180.000","Top"
"R8","R 0.1W SMTF 100","SM0805","80.575","92.924","180.000","Top"
"R22","R 0.1W SMTF 100K","SM0805","89.055","107.594","90.000","Top"
"R24","R 0.1W SMTF 100K","SM0805","84.555","107.649","90.000","Top"
"F1","RKEF075","RKEF075","91.420","9.349","0.000","Top"
"F3","RKEF075","RKEF075","40.450","3.889","180.000","Top"
"L1","RLF12560T-100M7R5-PF","INDPM125128X600N","108.215","47.014","270.000","Top"
"L2","RLF12560T-100M7R5-PF","INDPM125128X600N","20.665","38.589","180.000","Top"
"F2","RUEF300","RUEF300","96.375","53.959","270.000","Top"
"F4","RUEF300","RUEF300","9.735","53.234","180.000","Top"
"D1","SBRD10200TR","SMC_DPAK","111.866","33.864","180.000","Top"
"D2","SBRD10200TR","SMC_DPAK","22.189","27.139","0.000","Top"
"D4","SMBJ6.5CA-Q","DIONM5436X244N","122.660","54.314","270.000","Top"
"D7","SMBJ6.5CA-Q","DIONM5436X244N","9.375","39.879","180.000","Top"
"D5","SMBJ36CA","DIONM5336X245N","99.845","8.679","270.000","Top"
"D8","SMBJ36CA","DIONM5336X245N","37.415","49.929","180.000","Top"
"CONN1","SolderTerm_2_Pin","DIL","91.255","3.949","180.000","Top"
"CONN2","SolderTerm_2_Pin","DIL","12.740","58.709","0.000","Top"
"CONN4","SolderTerm_2_Pin","DIL","107.720","57.599","0.000","Top"
"C6","TCJA106M016R0200","CAPPM3216X180N","76.030","105.038","0.000","Top"
"C13","TCJA106M016R0200","CAPPM3216X180N","111.935","71.264","270.000","Top"
"C18","TCJA106M016R0200","CAPPM3216X180N","14.645","78.309","225.000","Top"
"RST","TL1105CF160Q","TL1105CF160Q","118.635","77.414","90.000","Top"
"IC1","TPS5450DDAR","SOIC127P600X170-9N","108.065","23.864","270.000","Top"
"IC5","TPS5450DDAR","SOIC127P600X170-9N","25.715","17.689","270.000","Top"
"USB","USB3140-30-0140-1-C","USB31403001401C","45.287","115.098","158.000","Top"
"TVS_USB","USBLC62P6","USBLC62P6","45.093","105.063","180.000","Top"
